,color,duration,gross,genres,facenumber_in_poster,language,content_rating,budget,title_year,imdb_score,aspect_ratio,director_avg_gross,director_avg_score,director_movies,actor_average_score,actor_average_gross,actor_movies,gross_class
0,Color,178.0,760505847.0,Action|Adventure|Fantasy|Sci-Fi,0.0,English,PG-13,237000000.0,2009.0,7.9,1.78,229844012.6,7.88,5,4.8925925925925915,47328520.22222222,12,9
1,Color,169.0,309404152.0,Action|Adventure|Fantasy,0.0,English,PG-13,300000000.0,2007.0,7.1,2.35,201924934.75,7.025,4,4.006613756613757,91718405.5179894,32,9
3,Color,164.0,448130642.0,Action|Thriller,0.0,English,PG-13,250000000.0,2012.0,8.5,2.35,196184249.16666663,8.383333333333335,6,5.126666666666667,88344143.97460318,30,9
5,Color,132.0,73058679.0,Action|Adventure|Sci-Fi,1.0,English,PG-13,263700000.0,2012.0,6.6,2.35,302322879.5,8.3,2,2.8777777777777778,18140621.222222224,5,6
6,Color,156.0,336530303.0,Action|Adventure|Romance,0.0,English,PG-13,258000000.0,2007.0,6.2,2.35,165935360.0,7.3,5,4.45462962962963,74905908.78703704,33,9
7,Color,100.0,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,1.0,English,PG,260000000.0,2010.0,7.8,1.85,0.0,0.0,0,3.083333333333333,68590775.11111109,5,9
8,Color,141.0,458991599.0,Action|Adventure|Sci-Fi,4.0,English,PG-13,250000000.0,2015.0,7.5,2.35,423965009.6666667,8.066666666666666,3,4.864661103791538,178376239.76865268,50,9
10,Color,183.0,330249062.0,Action|Adventure|Sci-Fi,0.0,English,PG-13,250000000.0,2016.0,6.9,2.35,116991970.0,7.2142857142857135,7,0.7083333333333334,11769673.055555554,4,9
11,Color,169.0,200069408.0,Action|Adventure|Sci-Fi,0.0,English,PG-13,209000000.0,2006.0,6.1,2.35,90286011.5,8.0,2,4.392378917378917,23708082.27065527,24,9
13,Color,151.0,423032628.0,Action|Adventure|Fantasy,2.0,English,PG-13,225000000.0,2006.0,7.3,2.35,128222370.33333331,6.933333333333333,3,4.031111111111111,76452794.57777779,29,9
14,Color,150.0,89289910.0,Action|Adventure|Western,1.0,English,PG-13,215000000.0,2013.0,6.5,2.35,206718514.16666663,7.066666666666666,6,3.096203703703704,30346660.78518519,45,6
15,Color,143.0,291021565.0,Action|Adventure|Fantasy|Sci-Fi,0.0,English,PG-13,225000000.0,2013.0,7.2,2.35,87987037.5,7.216666666666666,6,4.198148148148149,33249899.11111112,10,9
16,Color,150.0,141614023.0,Action|Adventure|Family|Fantasy,4.0,English,PG,225000000.0,2008.0,6.6,2.35,331944299.0,7.333333333333332,3,0.7866666666666667,4368347.044444445,5,7
17,Color,173.0,623279547.0,Action|Adventure|Sci-Fi,3.0,English,PG-13,220000000.0,2012.0,8.1,1.85,25335935.0,8.0,1,3.958774250440917,65954783.40255732,36,9
18,Color,136.0,241063875.0,Action|Adventure|Fantasy,4.0,English,PG-13,250000000.0,2011.0,6.7,2.35,82456260.66666667,6.7666666666666675,3,2.202880658436214,21997651.584362134,29,9
19,Color,106.0,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,1.0,English,PG-13,225000000.0,2012.0,6.8,1.85,124525560.0,6.4,6,2.2809523809523813,22476264.3968254,16,8
21,Color,153.0,262030663.0,Action|Adventure|Fantasy,0.0,English,PG-13,230000000.0,2012.0,7.0,2.35,32391374.0,7.7,1,3.5476190476190483,32041259.49206349,11,9
22,Color,156.0,105219735.0,Action|Adventure|Drama|History,0.0,English,PG-13,200000000.0,2010.0,6.7,2.35,65177257.6,7.239999999999998,10,3.4433333333333334,25489920.457407404,14,7
23,Color,186.0,258355354.0,Adventure|Fantasy,6.0,English,PG-13,225000000.0,2013.0,7.9,2.35,201365958.5,7.75,4,0.0,0.0,0,9
24,Color,113.0,70083519.0,Adventure|Family|Fantasy,2.0,English,PG-13,180000000.0,2007.0,6.1,2.35,64172251.0,5.4,1,3.025,52457523.37962963,12,6
26,Color,194.0,658672302.0,Drama|Romance,0.0,English,PG-13,200000000.0,1997.0,7.7,2.35,122636940.25,7.924999999999999,4,2.4722222222222228,9047870.222222222,4,9
27,Color,147.0,407197282.0,Action|Adventure|Sci-Fi,0.0,English,PG-13,250000000.0,2016.0,8.2,2.35,111895084.66666669,6.599999999999999,3,5.538735177865613,170072359.31803542,51,9
28,Color,131.0,65173160.0,Action|Adventure|Sci-Fi|Thriller,0.0,English,PG-13,209000000.0,2012.0,5.9,2.35,83199332.75,6.625000000000001,4,2.1905723905723904,35863825.06734007,15,6
29,Color,124.0,652177271.0,Action|Adventure|Sci-Fi|Thriller,0.0,English,PG-13,150000000.0,2015.0,7.0,2.0,4007792.0,7.0,1,4.372169312169311,43370556.29523811,25,9
31,Color,135.0,373377893.0,Action|Adventure|Fantasy|Romance,1.0,English,PG-13,200000000.0,2004.0,7.3,2.35,114074726.75,7.3,4,4.314074074074074,65826768.53518518,21,9
32,Color,195.0,408992272.0,Action|Adventure|Sci-Fi,3.0,English,PG-13,200000000.0,2013.0,7.2,2.35,4235837.0,7.6,1,5.356613756613757,138863857.54365078,46,9
33,Color,108.0,334185206.0,Adventure|Family|Fantasy,0.0,English,PG,200000000.0,2010.0,6.5,1.85,115765984.1818182,7.063636363636364,11,3.8248309178743964,49416100.97471821,37,9
35,Color,104.0,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,0.0,English,G,200000000.0,2013.0,7.3,1.85,0.0,0.0,0,6.1673721340388,64578264.89770722,32,9
36,Color,150.0,402076689.0,Action|Adventure|Sci-Fi,0.0,English,PG-13,200000000.0,2009.0,6.0,2.35,141085197.625,6.8,8,2.848148148148148,23549970.88888889,6,9
37,Color,165.0,245428137.0,Action|Adventure|Sci-Fi,2.0,English,PG-13,210000000.0,2014.0,5.7,2.35,175726543.8181818,6.654545454545455,11,2.7055555555555557,15726790.0,5,9
38,Color,130.0,234903076.0,Adventure|Family|Fantasy,4.0,English,PG,215000000.0,2013.0,6.4,2.35,193099343.25,6.9375,8,3.593148148148148,48091868.1,25,9
39,Color,142.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,0.0,English,PG-13,200000000.0,2014.0,6.7,2.35,147211018.5,7.35,2,4.580555555555555,72951174.91666667,15,9
40,Color,125.0,172051787.0,Action|Adventure|Sci-Fi,0.0,English,PG,170000000.0,2010.0,6.8,2.35,0.0,0.0,0,2.827272727272728,22490899.83838384,20,8
41,Color,106.0,191450875.0,Adventure|Animation|Comedy|Family|Sport,0.0,English,G,200000000.0,2011.0,6.3,2.35,211116269.5,7.65,4,4.196666666666666,30848757.844444446,11,8
42,Color,123.0,116593191.0,Action|Adventure|Sci-Fi,2.0,English,PG-13,200000000.0,2011.0,5.6,2.35,53006778.75,6.25,4,2.57962962962963,39942922.03703704,7,7
43,Color,103.0,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,3.0,English,G,200000000.0,2010.0,8.3,1.85,0.0,0.0,0,5.125217864923747,102885169.54248369,30,9
44,Color,118.0,125320003.0,Action|Adventure|Sci-Fi,0.0,English,PG-13,200000000.0,2009.0,6.6,2.35,89841239.66666667,5.8,3,3.8259259259259264,35670522.05555555,17,7
45,Color,140.0,350034110.0,Action|Crime|Thriller,0.0,English,PG-13,190000000.0,2015.0,7.2,2.35,67926383.8,7.08,5,2.9809523809523815,41264116.13756614,41,9
46,Color,123.0,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,0.0,English,PG-13,190000000.0,2013.0,7.0,2.35,27880566.6,7.38,5,3.2748812915479584,31854386.21415005,26,9
47,Color,149.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,7.0,English,PG-13,200000000.0,2014.0,8.0,2.35,105778152.2,7.1,5,3.1546296296296297,48107203.14814814,30,9
48,Color,132.0,228756232.0,Action|Adventure|Sci-Fi,0.0,English,PG-13,190000000.0,2013.0,7.8,2.35,172687192.33333334,7.333333333333332,3,3.135185185185185,53228595.092592604,9,9
49,Color,114.0,65171860.0,Adventure|Fantasy,1.0,English,PG-13,195000000.0,2013.0,6.3,2.35,115929725.25,7.300000000000002,4,3.203703703703704,33613111.425925925,14,6
51,Color,116.0,90755643.0,Action|Adventure|Fantasy|Romance,2.0,English,PG-13,200000000.0,2010.0,6.6,2.35,29660476.75,6.65,4,2.323148148148148,9086412.564814817,11,6
52,Color,131.0,101785482.0,Action|Adventure|Sci-Fi,0.0,English,PG-13,190000000.0,2013.0,7.0,1.85,72144975.33333333,6.833333333333332,3,4.2851851851851865,20855243.740740746,14,7
53,Color,154.0,352358779.0,Action|Adventure|Sci-Fi,2.0,English,PG-13,195000000.0,2011.0,6.3,2.35,170084252.22222218,6.711111111111111,9,2.7370370370370374,87504967.72222222,8,9
